"year","month","time_slot","flight_arrival","flight_departure","flight_total","passenger_arrival","passenger_departure","passenger_total","cargo_arrival","cargo_departure","cargo_total"
"2024","2","17시-18시",1165,639,1804,249509,119673,369182,6449,2987,9436
"2024","2","18시-19시",868,704,1572,168930,137162,306092,5363,3308,8671
"2024","2","19시-20시",790,1008,1798,144152,201720,345872,3742,4689,8431
"2024","2","20시-21시",1011,849,1860,168244,181786,350030,5162,3986,9148
"2024","2","21시-22시",701,940,1641,121260,177667,298927,4485,3882,8366
"2024","2","22시-23시",459,901,1360,74188,143702,217890,2290,5011,7301
"2024","2","23시-00시",236,589,825,28335,79800,108135,3491,10386,13877
"2024","3","00시-01시",173,415,588,16688,40353,57041,2701,7184,9885
"2024","3","01시-02시",95,263,358,4757,29573,34330,4054,5537,9591
"2024","3","02시-03시",60,206,266,3019,11462,14481,2069,7076,9145
"2024","3","03시-04시",159,85,244,25631,2361,27992,1802,3333,5135
"2024","3","04시-05시",589,78,667,127775,96,127871,3957,3875,7832
"2024","3","05시-06시",808,64,872,185622,231,185853,4887,2836,7723
"2024","3","06시-07시",898,172,1070,181062,20936,201998,6876,1950,8827
"2024","3","07시-08시",885,641,1526,149916,106828,256744,6681,2181,8862
"2024","3","08시-09시",746,1155,1901,129069,192802,321871,8306,3879,12185
"2024","3","09시-10시",602,1194,1796,104534,224458,328992,8045,5300,13346
"2024","3","10시-11시",604,1210,1814,78202,230320,308522,6732,6725,13457
"2024","3","11시-12시",968,973,1941,151870,153004,304874,6896,7036,13931
"2024","3","12시-13시",702,1089,1791,105723,159914,265637,4754,6673,11427
"2024","3","13시-14시",992,906,1898,175214,135148,310362,5671,5261,10932
"2024","3","14시-15시",1002,912,1914,172271,126415,298686,6494,6222,12717
"2024","3","15시-16시",1028,863,1891,194548,152615,347163,6812,2567,9378
"2024","3","16시-17시",1093,849,1942,232961,135678,368639,9350,4997,14347
"2024","3","17시-18시",1233,687,1920,257209,116289,373498,8371,4836,13207
"2024","3","18시-19시",819,775,1594,152967,137495,290462,5938,5619,11557
"2024","3","19시-20시",785,1062,1847,137730,207182,344912,4072,5223,9295
"2024","3","20시-21시",1046,923,1969,171245,175509,346754,5487,5401,10889
"2024","3","21시-22시",725,920,1645,127785,161187,288972,5020,3734,8754
"2024","3","22시-23시",533,873,1406,75594,115122,190716,4878,7980,12858
"2024","3","23시-00시",286,492,778,36209,61526,97735,4601,9054,13655
"2024","4","00시-01시",149,306,455,13397,30256,43653,2736,6478,9213
"2024","4","01시-02시",72,356,428,4844,40751,45595,1925,7964,9889
"2024","4","02시-03시",57,208,265,999,10000,10999,1941,7505,9447
"2024","4","03시-04시",130,54,184,17979,767,18746,1364,2404,3768
"2024","4","04시-05시",583,76,659,120990,429,121419,3536,2762,6298
"2024","4","05시-06시",723,36,759,145183,190,145373,3390,1400,4790
"2024","4","06시-07시",971,182,1153,186734,25681,212415,6783,1572,8354
"2024","4","07시-08시",922,558,1480,148069,91875,239944,8198,1362,9559
"2024","4","08시-09시",658,1209,1867,116756,206781,323537,8408,4153,12560
"2024","4","09시-10시",683,1178,1861,108944,221209,330153,9105,4947,14051
"2024","4","10시-11시",504,1197,1701,66349,245801,312150,5866,7530,13396
"2024","4","11시-12시",875,910,1785,137438,181118,318556,6027,7331,13358
"2024","4","12시-13시",883,964,1847,132586,155166,287752,5322,6176,11498
"2024","4","13시-14시",873,988,1861,144133,153771,297904,4801,6040,10841
"2024","4","14시-15시",914,859,1773,158472,125609,284081,5760,5285,11045
"2024","4","15시-16시",941,817,1758,162687,153205,315892,6136,3415,9551
"2024","4","16시-17시",1118,829,1947,223759,142314,366073,7846,4958,12803
"2024","4","17시-18시",1102,673,1775,229225,113751,342976,6563,3129,9692
"2024","4","18시-19시",826,704,1530,150407,140032,290439,5471,3790,9261
"2024","4","19시-20시",899,894,1793,134199,188215,322414,4137,3734,7871
"2024","4","20시-21시",879,931,1810,147208,194786,341994,5657,3295,8952
"2024","4","21시-22시",716,953,1669,121511,185232,306743,5473,3724,9197
"2024","4","22시-23시",461,817,1278,59307,116228,175535,4361,8880,13242
"2024","4","23시-00시",330,555,885,35377,73999,109376,4102,10652,14753
"2024","5","00시-01시",154,358,512,11182,38131,49313,2822,7633,10454
"2024","5","01시-02시",79,320,399,5997,34849,40846,1661,6706,8367
"2024","5","02시-03시",41,276,317,736,13566,14302,1707,9332,11039
"2024","5","03시-04시",162,58,220,23824,2695,26519,1329,1340,2669
"2024","5","04시-05시",567,69,636,118771,112,118883,3302,2397,5699
"2024","5","05시-06시",754,48,802,141897,9,141906,3892,1699,5592
"2024","5","06시-07시",1002,196,1198,178016,26005,204021,6062,978,7040
"2024","5","07시-08시",979,557,1536,149390,94064,243454,9794,1568,11361
"2024","5","08시-09시",720,1275,1995,113044,217695,330739,10627,4384,15011
"2024","5","09시-10시",698,1243,1941,107401,232790,340191,9110,4983,14093
"2024","5","10시-11시",508,1316,1824,69693,257059,326752,5131,8284,13415
"2024","5","11시-12시",927,927,1854,136253,176592,312845,6237,8174,14410
"2024","5","12시-13시",864,1040,1904,129057,166652,295709,5165,6799,11964
"2024","5","13시-14시",929,946,1875,146467,146751,293218,3883,5473,9356
"2024","5","14시-15시",936,892,1828,163345,139338,302683,6089,4782,10871
"2024","5","15시-16시",1024,833,1857,179557,151275,330832,6477,3331,9808
"2024","5","16시-17시",1141,849,1990,232289,148327,380616,7773,3962,11735
"2024","5","17시-18시",1159,747,1906,245808,122015,367823,7944,4245,12189
"2024","5","18시-19시",901,723,1624,161676,137087,298763,6488,3471,9959
"2024","5","19시-20시",922,933,1855,137643,180988,318631,4016,3925,7942
"2024","5","20시-21시",936,931,1867,150762,181451,332213,6537,3644,10180
"2024","5","21시-22시",758,1053,1811,123198,189354,312552,6046,3470,9515
"2024","5","22시-23시",548,858,1406,71080,120126,191206,4364,9119,13483
"2024","5","23시-00시",326,601,927,37438,73434,110872,3266,13281,16547
"2024","6","00시-01시",174,417,591,16447,45167,61614,2914,9639,12553
"2024","6","01시-02시",89,326,415,7971,37319,45290,1294,7506,8800
"2024","6","02시-03시",46,257,303,2152,19186,21338,1822,7332,9154
"2024","6","03시-04시",204,71,275,40786,2559,43345,1867,2436,4303
"2024","6","04시-05시",476,72,548,99392,735,100127,3186,2684,5870
"2024","6","05시-06시",633,62,695,119907,1981,121888,3451,1900,5351
"2024","6","06시-07시",955,175,1130,168954,21619,190573,6259,1224,7482
"2024","6","07시-08시",936,546,1482,154330,91330,245660,7855,1518,9373
"2024","6","08시-09시",698,1200,1898,104527,217895,322422,10113,4471,14583
"2024","6","09시-10시",729,1191,1920,109662,224517,334179,9662,4375,14037
"2024","6","10시-11시",607,1248,1855,85977,249358,335335,6460,6747,13208
"2024","6","11시-12시",915,875,1790,139929,168415,308344,6746,7167,13913
"2024","6","12시-13시",846,1054,1900,133073,175608,308681,4604,8167,12770
"2024","6","13시-14시",879,895,1774,144260,143445,287705,4730,5489,10218
"2024","6","14시-15시",961,901,1862,179096,138709,317805,6150,5766,11916
"2024","6","15시-16시",1002,844,1846,187675,157511,345186,6591,3650,10241
"2024","6","16시-17시",1078,847,1925,233586,151889,385475,6548,5055,11603
"2024","6","17시-18시",1127,787,1914,244128,141673,385801,7354,4873,12227
"2024","6","18시-19시",885,746,1631,160047,144894,304941,5785,3730,9515
"2024","6","19시-20시",897,909,1806,145835,184681,330516,4361,4390,8751
"2024","6","20시-21시",877,928,1805,138342,183503,321845,6371,3388,9759
"2024","6","21시-22시",827,964,1791,136025,184338,320363,6958,3257,10215
"2024","6","22시-23시",573,845,1418,85676,126162,211838,4568,8301,12870
